time [s],Taken At (UTC),ambient_co2.calibre (%),ambient_co2.calibre (%) (SMOOTHED),ambient_h2o.calibre (%),ambient_h2o.calibre (%) (SMOOTHED),ambient_humidity.calibre (%),ambient_humidity.calibre (%) (SMOOTHED),ambient_o2.calibre (%),ambient_o2.calibre (%) (SMOOTHED),ambient_pressure.calibre (hP),ambient_pressure.calibre (hP) (SMOOTHED),ambient_saturation_vapor_pressure.calibre (kP),ambient_saturation_vapor_pressure.calibre (kP) (SMOOTHED),ambient_temperature.calibre (°C),ambient_temperature.calibre (°C) (SMOOTHED),battery_level.calibre (%),battery_level.calibre (%) (SMOOTHED),breath_duration.calibre (ms),breath_duration.calibre (ms) (SMOOTHED),breath_volume.calibre (ml),breath_volume.calibre (ml) (SMOOTHED),calorie_burn_rate.calibre,calorie_burn_rate.calibre (SMOOTHED),calories.calibre (kCal),calories.calibre (kCal) (SMOOTHED),carb_burn.calibre (%),carb_burn.calibre (%) (SMOOTHED),carb_burn_rate.calibre,carb_burn_rate.calibre (SMOOTHED),corrected_breath_volume.calibre (ml),corrected_breath_volume.calibre (ml) (SMOOTHED),elevation.calibre (m),elevation.calibre (m) (SMOOTHED),energy_expenditure_per_kilogram.calibre,energy_expenditure_per_kilogram.calibre (SMOOTHED),expired_h2o.calibre (%),expired_h2o.calibre (%) (SMOOTHED),expired_saturation_vapor_pressure.calibre (kP),expired_saturation_vapor_pressure.calibre (kP) (SMOOTHED),fat_burn.calibre (%),fat_burn.calibre (%) (SMOOTHED),fat_burn_rate.calibre,fat_burn_rate.calibre (SMOOTHED),fe_co2.calibre (%),fe_co2.calibre (%) (SMOOTHED),fe_o2.calibre (%),fe_o2.calibre (%) (SMOOTHED),haldane_correction_factor.calibre (%),haldane_correction_factor.calibre (%) (SMOOTHED),inhale_exhale_ratio.calibre,inhale_exhale_ratio.calibre (SMOOTHED),interval,interval (SMOOTHED),number_of_breaths.calibre,number_of_breaths.calibre (SMOOTHED),protein_burn_rate.calibre,protein_burn_rate.calibre (SMOOTHED),relative_vco2.calibre,relative_vco2.calibre (SMOOTHED),relative_vo2.calibre,relative_vo2.calibre (SMOOTHED),rer.calibre,rer.calibre (SMOOTHED),respiratory_rate.calibre (bpm),respiratory_rate.calibre (bpm) (SMOOTHED),respiratory_rate_uniformity.calibre (%),respiratory_rate_uniformity.calibre (%) (SMOOTHED),resting_metabolic_rate.calibre,resting_metabolic_rate.calibre (SMOOTHED),sensor_humidity.calibre (%),sensor_humidity.calibre (%) (SMOOTHED),sensor_temperature.calibre (°C),sensor_temperature.calibre (°C) (SMOOTHED),sensor_time.calibre (ms),sensor_time.calibre (ms) (SMOOTHED),standard_minute_volume.calibre (l/min),standard_minute_volume.calibre (l/min) (SMOOTHED),tidal_volume.calibre (l),tidal_volume.calibre (l) (SMOOTHED),tidal_volume_uniformity.calibre (%),tidal_volume_uniformity.calibre (%) (SMOOTHED),urinary_nitrogen_loss.calibre (g/min),urinary_nitrogen_loss.calibre (g/min) (SMOOTHED),vco2.calibre (ml/min),vco2.calibre (ml/min) (SMOOTHED),ventilation.calibre (l/min),ventilation.calibre (l/min) (SMOOTHED),ventilatory_equivalent_vco2.calibre,ventilatory_equivalent_vco2.calibre (SMOOTHED),ventilatory_equivalent_vo2.calibre,ventilatory_equivalent_vo2.calibre (SMOOTHED),vo2.calibre (ml/min),vo2.calibre (ml/min) (SMOOTHED),volume_correction_factor.calibre,volume_correction_factor.calibre (SMOOTHED)
0,03-12-2025 1:13:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calm-Down,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.039,03-12-2025 1:13:59,,,,,,,,,,,,,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calm-Down,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.809,03-12-2025 1:14:01,0.039552252428810886,0.039552252428810886,1.1193689279727808,1.1193689279727808,32.47882810711833,32.47882810711833,20.7154922095897,20.7154922095897,975.3,975.3,3.3613297618105333,3.3613297618105333,26,26,40,40,4520,4520,548,548,1.491228223906773,1.491228223906773,0.11233919286764357,0.11233919286764357,0,,0,,481.63092858831567,481.63092858831567,333.29170296938634,333.29170296938634,36.39607868518226,36.39607868518226,4.631337161895207,4.631337161895207,4.754619706170253,4.754619706170253,98.49800669078884,98.49800669078884,1.4688300757586248,1.4688300757586248,2.3743400372325816,2.3743400372325816,15.33,15.33,99.40958675748695,99.40958675748695,0.614,0.614,Calm-Down,NaN,1,1,0.022398148148148143,0.022398148148148143,2.5302650670667695,2.5302650670667695,5.703268581149919,5.703268581149919,0.44365174654927547,0.44365174654927547,13.274336283185841,13.274336283185841,0,0,2147.3686424257535,2147.3686424257535,95.00114442664224,95.00114442664224,32,32,1764724441100,1764724441100,6.393330910464368,6.393330910464368,0.548,0.548,0,0,0.005462962962962962,0.005462962962962962,149.2856389569394,149.2856389569394,7.274336283185841,7.274336283185841,48.727636054021794,48.727636054021794,21.618100840584216,21.618100840584216,336.4928462878452,336.4928462878452,0.8788885558180943,0.8788885558180943
7.271,03-12-2025 1:14:06,0.039552252428810886,0.039552252428810886,1.1193689279727808,1.1193689279727808,32.47882810711833,32.47882810711833,20.7154922095897,20.7154922095897,975.3,975.3,3.3613297618105333,3.3613297618105333,26,26,40,40,5460,5460,614,614,1.3891899672246675,1.3891899672246675,0.23875547988508833,0.23875547988508833,0,,0,,539.6375732723099,539.6375732723099,333.29170296938634,333.29170296938634,33.905653437347816,33.905653437347816,4.631337161895207,4.631337161895207,4.754619706170253,4.754619706170253,98.38768284564455,98.38768284564455,1.3667918190765194,1.3667918190765194,2.401806695760979,2.401806695760979,15.31,15.31,99.40002950633225,99.40002950633225,0.624,0.624,Calm-Down,NaN,2,2,0.022398148148148143,0.022398148148148143,2.374537739323551,2.374537739323551,5.308133449665827,5.308133449665827,0.44733949548179497,0.44733949548179497,10.989010989010989,10.989010989010989,87.52878460371087,87.52878460371087,2000.4335528035213,2000.4335528035213,95.00114442664224,95.00114442664224,32,32,1764724446549,1764724446549,5.930083222772636,5.930083222772636,0.614,0.614,92.28160288261672,92.28160288261672,0.005462962962962962,0.005462962962962962,140.0977266200895,140.0977266200895,6.747252747252747,6.747252747252747,48.1610437944481,48.1610437944481,21.544337032885043,21.544337032885043,313.17987353028377,313.17987353028377,0.8788885558180943,0.8788885558180943
13.358,03-12-2025 1:14:12,0.039552252428810886,0.039552252428810886,1.1193689279727808,1.1193689279727808,32.47882810711833,32.47882810711833,20.7154922095897,20.7154922095897,975.3,975.3,3.3613297618105333,3.3613297618105333,26,26,40,40,6100,6100,583,583,1.2009118500385263,1.2009118500385263,0.36084818463900514,0.36084818463900514,0,,0,,512.392028041949,512.392028041949,333.29170296938634,333.29170296938634,29.310390916194542,29.310390916194542,4.631337161895207,4.631337161895207,4.754619706170253,4.754619706170253,98.1349048935249,98.1349048935249,1.1785137018903782,1.1785137018903782,2.4506363109225746,2.4506363109225746,15.23,15.23,99.43992729934851,99.43992729934851,0.625,0.625,Calm-Down,NaN,3,3,0.022398148148148143,0.022398148148148143,2.059795092460819,2.059795092460819,4.586730465360199,4.586730465360199,0.449076985887171,0.449076985887171,9.836065573770492,10.989010989010989,86.2197411778279,86.2197411778279,1729.313064055478,1729.313064055478,95.00114442664224,95.00114442664224,32,32,1764724452639,1764724452639,5.039921587297859,5.039921587297859,0.583,0.583,94.48130091364636,94.48130091364636,0.005462962962962962,0.005462962962962962,121.52791045518832,121.52791045518832,5.7344262295081965,5.7344262295081965,47.18608431618418,47.18608431618418,21.1901845205299,21.1901845205299,270.6170974562517,270.6170974562517,0.8788885558180943,0.8788885558180943
19.784,03-12-2025 1:14:19,0.039552252428810886,0.039552252428810886,1.1193689279727808,1.1193689279727808,32.47882810711833,32.47882810711833,20.7154922095897,20.7154922095897,975.3,975.3,3.3613297618105333,3.3613297618105333,26,26,40,40,6440,6440,722,722,1.432440541932713,1.432440541932713,0.5145968028064497,0.5145968028064497,0,,0,,634.5575373006641,634.5575373006641,333.29170296938634,333.29170296938634,34.96126068445944,34.96126068445944,4.631337161895207,4.631337161895207,4.754619706170253,4.754619706170253,98.43636454760436,98.43636454760436,1.4100423937845648,1.4100423937845648,2.4903103732413707,2.4903103732413707,15.15,15.15,99.49154411201003,99.49154411201003,0.666,0.666,Calm-Down,NaN,4,4,0.022398148148148143,0.022398148148148143,2.4559553387238875,2.4559553387238875,5.4712932373682355,5.4712932373682355,0.4488802248707903,0.4488802248707903,9.316770186335404,10.989010989010989,86.07544727517,86.07544727517,2062.714380383107,2062.714380383107,95.00114442664224,95.00114442664224,32,32,1764724459060,1764724459060,5.912026745037243,5.912026745037243,0.722,0.722,88.52565234505576,88.52565234505576,0.005462962962962962,0.005462962962962962,144.90136498470937,144.90136498470937,6.726708074534161,6.726708074534161,46.42266879434844,46.42266879434844,20.838218007509347,20.838218007509347,322.80630100472587,322.80630100472587,0.8788885558180943,0.8788885558180943
23.83,03-12-2025 1:14:23,0.039552252428810886,0.039552252428810886,1.1193689279727808,1.1193689279727808,32.47882810711833,32.47882810711833,20.7154922095897,20.7154922095897,975.3,975.3,3.3613297618105333,3.3613297618105333,26,26,40,40,4060,5250,527,624.5,1.6962603459241135,1.5643504439284133,0.6293770862139814,0.5719869445102155,0,,0,,463.1742689161357,548.8659031083998,333.29170296938634,333.29170296938634,41.40025251069024,38.18075659757484,4.631337161895207,4.631337161895207,4.754619706170253,4.754619706170253,98.67955716809817,98.55796085785127,1.6738621977759653,1.541952295780265,2.5482955412457655,2.519302957243568,15.04,15.094999999999999,99.55812259705266,99.52483335453135,0.66,0.663,Calm-Down,NaN,5,4.5,0.022398148148148143,0.022398148148148143,2.910744649257277,2.683349993990582,6.478277536809804,5.974785387089019,0.44930842075201655,0.44909432281140343,14.77832512315271,14.77832512315271,82.63982363156974,84.35763545336988,2442.6148981307238,2252.6646392569155,95.00114442664224,95.00114442664224,32,32,1764724463120,1764724461090,6.844939934721217,6.37848333987923,0.527,0.6245,88.01026270842661,88.26795752674118,0.005462962962962962,0.005462962962962962,171.73393430617935,158.31764964544436,7.788177339901478,7.25744270721782,45.35025282782008,45.88646081108426,20.376250478772516,20.60723424314093,382.21837467177846,352.51233783825217,0.8788885558180943,0.8788885558180943
27.644,03-12-2025 1:14:27,0.039552252428810886,0.039552252428810886,1.1193689279727808,1.1193689279727808,32.47882810711833,32.47882810711833,20.7154922095897,20.7154922095897,975.3,975.3,3.3613297618105333,3.3613297618105333,26,26,40,40,3820,3940,564,545.5,1.9371838829274899,1.8167221144258017,0.7527111267603649,0.6910441064871731,0,,0,,495.69314548140517,479.43370719877043,333.29170296938634,333.29170296938634,47.2804201934845,44.34033635208737,4.631337161895207,4.631337161895207,4.754619706170253,4.754619706170253,98.84377790123362,98.76166753466589,1.9147857347793418,1.7943239662776536,2.551347392193365,2.5498214667195653,15.02,15.03,99.579816064952,99.56896933100234,0.656,0.658,Calm-Down,NaN,6,5.5,0.022398148148148143,0.022398148148148143,3.3148336515426,3.1127891503999385,7.401019821303759,6.9396486790567815,0.4478887682479765,0.4485985944999965,15.706806282722512,15.242565702937611,79.53846484040564,81.08914423598769,2789.5447914155857,2616.079844773155,95.00114442664224,95.00114442664224,32,32,1764724466929,1764724465024.5,7.78575621174982,7.315348073235518,0.564,0.5455,88.41576910503223,88.21301590672942,0.005462962962962962,0.005462962962962962,195.5751854410134,183.65455987359638,8.858638743455497,8.323408041678487,45.29531046323519,45.322781645527634,20.28726081078809,20.3317556447803,436.6601694569218,409.4392720643501,0.8788885558180943,0.8788885558180943
32.715,03-12-2025 1:14:32,0.039552252428810886,0.039552252428810886,1.1193689279727808,1.1193689279727808,32.47882810711833,32.47882810711833,20.7154922095897,20.7154922095897,975.3,975.3,3.3613297618105333,3.3613297618105333,26,26,40,40,5080,5080,771,771,1.9993066697887978,1.9993066697887978,0.9219857581358164,0.9219857581358164,0,,0,,677.6230765357507,677.6230765357507,333.29170296938634,333.29170296938634,48.79663736433677,48.79663736433677,4.631337161895207,4.631337161895207,4.754619706170253,4.754619706170253,98.8797042251395,98.8797042251395,1.9769085216406497,1.9769085216406497,2.5482955412457655,2.5482955412457655,15,15,99.60932221261481,99.60932221261481,0.662,0.662,Calm-Down,NaN,7,7,0.022398148148148143,0.022398148148148143,3.4033505669048685,3.4033505669048685,7.643351433198954,7.643351433198954,0.445269407883352,0.445269407883352,11.811023622047244,11.811023622047244,79.43298063088884,79.43298063088884,2879.0016044958693,2879.0016044958693,95.00114442664224,95.00114442664224,32,32,1764724472000,1764724472000,8.00342216380808,8.00342216380808,0.771,0.771,84.50910056915112,84.50910056915112,0.005462962962962962,0.005462962962962962,200.79768344738724,200.79768344738724,9.106299212598426,9.106299212598426,45.35061887297344,45.35061887297344,20.193243212712453,20.193243212712453,450.9577345587383,450.9577345587383,0.8788885558180943,0.8788885558180943
36.675,03-12-2025 1:14:36,0.03954950085468852,0.03955087664174971,1.1262478632786945,1.1228083956257375,32.681773098344394,32.58030060273136,20.714051072643116,20.714771641116407,975.4,975.3499999999999,3.3613297618105333,3.3613297618105333,26,26,40,40,3960,4520,619,695,2.071853133082532,2.035579901435665,1.0587280649192634,0.9903569115275399,0,,0,,544.0877970435107,610.8554367896306,332.3997724243998,332.8457376968931,50.567262909132985,49.681950136734876,4.630862347751071,4.631099754823139,4.754619706170253,4.754619706170253,98.91893166602866,98.89931794558407,2.0494549849343837,2.0131817532875167,2.575762199774163,2.5620288705099643,14.97,14.985,99.62010300183742,99.61471260722612,0.657,0.6595,Calm-Down,NaN,8,7.5,0.022398148148148143,0.022398148148148143,3.5439243141950265,3.4736374405499477,7.915903198809773,7.779627316004364,0.44769677258406687,0.44648309023370947,15.151515151515152,13.481269386781198,78.90762307185307,79.17030185137095,2983.468511638846,2931.2350580673574,95.00114442664224,95.00114442664224,32,32,1764724475950,1764724473975,8.243754500659254,8.123588332233666,0.619,0.6950000000000001,85.07768893619185,84.79339475267147,0.005462962962962962,0.005462962962962962,209.09153453750656,204.9446089924469,9.378787878787879,9.242543545693152,44.85493829070122,45.10277858183733,20.081411107204417,20.137327159958435,467.0382887297766,458.9980116442574,0.8789786705064793,0.8789336131622868
40.334,03-12-2025 1:14:39,0.03954950085468852,0.03954950085468852,1.1262478632786945,1.1262478632786945,32.681773098344394,32.681773098344394,20.714051072643116,20.714051072643116,975.4,975.4,3.3613297618105333,3.3613297618105333,26,26,40,40,3680,3820,577,598,2.0863871701362426,2.0791201516093873,1.1866931446876197,1.1227106048034416,0,,0,,507.17069288223854,525.6292449628746,332.3997724243998,332.3997724243998,50.92199194908796,50.74462742911047,4.630862347751071,4.630862347751071,4.754619706170253,4.754619706170253,98.92646252484933,98.92269709543899,2.0639890219880943,2.056722003461239,2.5605029450361645,2.5681325724051636,14.95,14.96,99.66523764895784,99.64267032539763,0.662,0.6595,Calm-Down,NaN,9,8.5,0.022398148148148143,0.022398148148148143,3.533403240989034,3.5386637775920304,7.981362706053029,7.948632952431401,0.44270676213089744,0.4452017673574822,16.304347826086957,15.727931488801055,87.38606007382656,83.1468415728398,3004.3975249961895,2993.933018317518,95.00114442664224,95.00114442664224,32,32,1764724479630,1764724477790,8.269087383949541,8.256420942304398,0.577,0.598,85.61633139703859,85.34701016661522,0.005462962962962962,0.005462962962962962,208.470791218353,208.78116287792977,9.407608695652174,9.393198287220027,45.126747208430814,44.99084274956601,19.97791614214392,20.029663624674168,470.9003996571287,468.9693441934526,0.8789786705064793,0.8789786705064793
43.996,03-12-2025 1:14:43,0.03954950085468852,0.03954950085468852,1.1262478632786945,1.1262478632786945,32.681773098344394,32.681773098344394,20.714051072643116,20.714051072643116,975.4,975.4,3.3613297618105333,3.3613297618105333,26,26,40,40,3660,3670,596,586.5,2.1754937113511064,2.1309404407436743,1.3193982610800372,1.2530457028838284,0,,0,,523.8712876218617,515.5209902520501,332.3997724243998,332.3997724243998,53.096795666874456,52.00939380798121,4.630862347751071,4.630862347751071,4.754619706170253,4.754619706170253,98.97043379021133,98.94844815753032,2.1530955632029585,2.1085422925955264,2.5727103488265635,2.5666066469313638,14.93,14.94,99.67521279116337,99.67022522006062,0.655,0.6585000000000001,Calm-Down,NaN,10,9.5,0.022398148148148143,0.022398148148148143,3.687461870931461,3.6104325559602475,8.321350403301858,8.151356554677443,0.44313262778458407,0.44291969495774075,16.39344262295082,16.348895224518888,86.3310791817509,86.85856962778873,3132.710944345593,3068.554234670891,95.00114442664224,95.00114442664224,32,32,1764724483280,1764724481455,8.588053895440355,8.428570639694948,0.596,0.5865,87.43295998190105,86.52464568946982,0.005462962962962962,0.005462962962962962,217.5602503849562,213.0155208016546,9.770491803278688,9.58905024946543,44.90936090572865,45.01805405707973,19.900803110281803,19.939359626212863,490.95967379480965,480.93003672596916,0.8789786705064793,0.8789786705064793
48.045,03-12-2025 1:14:47,0.03954950085468852,0.03954950085468852,1.1262478632786945,1.1262478632786945,32.681773098344394,32.681773098344394,20.714051072643116,20.714051072643116,975.4,975.4,3.3613297618105333,3.3613297618105333,26,26,40,40,4060,3860,443,519.5,1.4490467258624669,1.8122702186067867,1.4174504228633975,1.3684243419717173,0,,0,,389.38755103437035,456.629419328116,332.3997724243998,332.3997724243998,35.36656415664326,44.23167991175886,4.630862347751071,4.630862347751071,4.754619706170253,4.754619706170253,98.45428392691637,98.71235885856385,1.4266485777143187,1.7898720704586386,2.557451094088565,2.565080721457564,14.96,14.945,99.65634346619788,99.66577812868063,0.649,0.652,Calm-Down,NaN,11,10.5,0.022398148148148143,0.022398148148148143,2.4559383615111203,3.0717001162212907,5.54271661249369,6.932033507897774,0.4430928970778075,0.4431127624311958,14.77832512315271,15.585883873051763,86.74852626450166,86.53980272312629,2086.627285241952,2609.6691147937727,95.00114442664224,95.00114442664224,32,32,1764724487329,1764724485304.5,5.754495828094143,7.171274861767249,0.443,0.5195,82.31070139154572,84.87183068672338,0.005462962962962962,0.005462962962962962,144.9003633291561,181.23030685705615,6.54679802955665,8.15864491641767,45.18137759727299,45.045369251500816,20.01954749354204,19.96017530191192,327.0202801371277,408.9899769659687,0.8789786705064793,0.8789786705064793
51.916,03-12-2025 1:14:51,0.03954950085468852,0.03954950085468852,1.1262478632786945,1.1262478632786945,32.681773098344394,32.681773098344394,20.714051072643116,20.714051072643116,975.4,975.4,3.3613297618105333,3.3613297618105333,26,26,40,40,3880,3970,581,512,1.9807186120020472,1.714882668932257,1.5455368931061966,1.481493657984797,0,,0,,510.6866075642645,450.0370792993174,332.3997724243998,332.3997724243998,48.3429627336093,41.85476344512628,4.630862347751071,4.630862347751071,4.754619706170253,4.754619706170253,98.86919080719352,98.66173736705494,1.9583204638538991,1.692484520784109,2.554399243140965,2.555925168614765,14.98,14.97,99.63464848902072,99.6454959776093,0.636,0.6425000000000001,Calm-Down,NaN,12,11.5,0.022398148148148143,0.022398148148148143,3.366347741384759,2.9111430514479397,7.5737937823821975,6.558255197437944,0.444473118507055,0.4437830077924313,15.463917525773196,15.121121324462953,95.56150246061428,91.15501436255798,2852.2348012829484,2469.43104326245,95.00114442664224,95.00114442664224,32,32,1764724491200,1764724489264.5,7.897215580890688,6.825855704492415,0.581,0.512,88.44069153056687,85.3756964610563,0.005462962962962962,0.005462962962962962,198.61451674170078,171.75744003542843,8.984536082474227,7.765667056015438,45.236049357654274,45.20871347746363,20.106207926935657,20.062877710238848,446.85383316054964,386.9370566488387,0.8789786705064793,0.8789786705064793
56.927,03-12-2025 1:14:56,0.03954950085468852,0.03954950085468852,1.1262478632786945,1.1262478632786945,32.681773098344394,32.681773098344394,20.714051072643116,20.714051072643116,975.4,975.4,3.3613297618105333,3.3613297618105333,26,26,40,40,5000,5000,629,629,1.640731517643193,1.640731517643193,1.6822645195764627,1.6822645195764627,0,,0,,552.8775837485755,552.8775837485755,332.3997724243998,332.3997724243998,40.04497263400336,40.04497263400336,4.630862347751071,4.630862347751071,4.754619706170253,4.754619706170253,98.63486817268424,98.63486817268424,1.6183333694950448,1.6183333694950448,2.5208288827173684,2.5208288827173684,15.05,15.05,99.58801565632976,99.58801565632976,0.64,0.64,Calm-Down,NaN,13,13,0.022398148148148143,0.022398148148148143,2.7903738994164606,2.7903738994164606,6.273244161598283,6.273244161598283,0.4448055627258633,0.4448055627258633,12,12,87.26867409849287,87.26867409849287,2362.653385406198,2362.653385406198,95.00114442664224,95.00114442664224,32,32,1764724496190,1764724496190,6.634531004982906,6.634531004982906,0.629,0.629,88.14660700270677,88.14660700270677,0.005462962962962962,0.005462962962962962,164.63206006557118,164.63206006557118,7.548,7.548,45.84769210197402,45.84769210197402,20.393308485100672,20.393308485100672,370.1214055342987,370.1214055342987,0.8789786705064793,0.8789786705064793
64.637,03-12-2025 1:15:04,0.03954950085468852,0.03954950085468852,1.1262478632786945,1.1262478632786945,32.681773098344394,32.681773098344394,20.714051072643116,20.714051072643116,975.4,975.4,3.3613297618105333,3.3613297618105333,26,26,40,40,7740,7740,887,887,1.4764351907177087,1.4764351907177087,1.8727246591790472,1.8727246591790472,0,,0,,779.6540807392471,779.6540807392471,332.3997724243998,332.3997724243998,36.03502838361865,36.03502838361865,4.630862347751071,4.630862347751071,4.754619706170253,4.754619706170253,98.48295757992193,98.48295757992193,1.4540370425695606,1.4540370425695606,2.4842066713461715,2.4842066713461715,15.11,15.11,99.55809022971322,99.55809022971322,0.621,0.621,Calm-Down,NaN,14,14,0.022398148148148143,0.022398148148148143,2.504432008342261,2.504432008342261,5.646897605982061,5.646897605982061,0.4435058297655658,0.4435058297655658,7.751937984496124,12,70.74452289170523,70.74452289170523,2126.0666746335005,2126.0666746335005,95.00114442664224,95.00114442664224,32,32,1764724503920,1764724503920,6.043830083249977,6.043830083249977,0.887,0.887,77.27884593902402,77.27884593902402,0.005462962962962962,0.005462962962962962,147.7614884921934,147.7614884921934,6.875968992248062,6.875968992248062,46.534242869456044,46.534242869456044,20.638207996330465,20.638207996330465,333.1669587529416,333.1669587529416,0.8789786705064793,0.8789786705064793
69.406,03-12-2025 1:15:08,0.03954950085468852,0.03954950085468852,1.1262478632786945,1.1262478632786945,32.681773098344394,32.681773098344394,20.714051072643116,20.714051072643116,975.4,975.4,3.3613297618105333,3.3613297618105333,26,26,40,40,4780,6260,520,703.5,1.4130511860964643,1.4447431884070865,1.9852977370047322,1.9290111980918896,0,,0,,457.06890866336926,618.3614947013082,332.3997724243998,332.3997724243998,34.48802894879506,35.26152866620686,4.630862347751071,4.630862347751071,4.754619706170253,4.754619706170253,98.41490893121694,98.44893325556944,1.3906530379483162,1.4223450402589384,2.5025177770317697,2.493362224188971,15.07,15.09,99.58585373743867,99.57197198357593,0.615,0.618,Calm-Down,NaN,15,14.5,0.022398148148148143,0.022398148148148143,2.3951941422277865,2.449813075285024,5.404956960676471,5.525927283329266,0.4431476808518397,0.44332675530870275,12.552301255230125,12.552301255230125,73.70802869968993,72.22627579569757,2034.7937079789085,2080.4301913062045,95.00114442664224,95.00114442664224,32,32,1764724508690,1764724506305,5.737266635941873,5.890548359595925,0.52,0.7035,75.90195614482099,76.5904010419225,0.005462962962962962,0.005462962962962962,141.3164543914394,144.5389714418164,6.527196652719665,6.701582822483863,46.188511315459856,46.36137709245795,20.46833167144499,20.553269833887725,318.8924606799118,326.0297097164267,0.8789786705064793,0.8789786705064793
